名前,id,sights,def_ani,ads_ani,bayonet,bayonetdef,,,,,,,,,,,,,,,,,,Si
モシン・ナガン,mosin,"[1,2]",,animation.sight.ads,[1],animation.mosin.bayonet,,,,,,,,,,,,,,,,,,
PPSh-41,ppsh,0,,,[1],animation.ppsh.bayonet,,,,,,,,,,,,,,,,,,
DP-28,dp28,0,,,0,,,,,,,,,,,,,,,,,,,
TT33,tt33,0,,,3,,,,,,,,,,,,,,,,,,,
PTRD,ptrd,0,,,0,,,,,,,,,,,,,,,,,,,
Kar98k,k98,"[1,2]",,animation.sight.ads,[1],animation.k98.bayonet,,,,,,,,,,,,,,,,,,
MP40,mp40,0,,,[1],animation.mp40.bayonet,,,,,,,,,,,,,,,,,,
StG44,stg44,0,,,0,,,,,,,,,,,,,,,,,,,
MG42,mg42,0,,,0,,,,,,,,,,,,,,,,,,,
パンツァーファウスト,p90,0,,,0,,,,,,,,,,,,,,,,,,,
P38,p38,0,,,0,,,,,,,,,,,,,,,,,,,
M1ガーランド,m1,"[1,2]",,animation.sight.ads,[1],animation.m1.bayonet,,,,,,,,,,,,,,,,,,
M1903スプリングフィールド,spring,"[1,2]",,animation.sight.ads,[1],animation.spring.bayonet,,,,,,,,,,,,,,,,,,
ブローニングM1918,bar,0,,,0,,,,,,,,,,,,,,,,,,,
M1A1トンプソン,thom,0,,,[1],,,,,,,,,,,,,,,,,,,
M1911,m1911,0,,,0,,,,,,,,,,,,,,,,,,,
M1バズーカ,m1b,0,,,0,,,,,,,,,,,,,,,,,,,
リー・エンフィールドNo.4,leemk4,"[1,2]",,animation.sight.ads,[1],animation.k98.bayonet,,,,,,,,,,,,,,,,,,
PIAT,piat,0,,,0,,,,,,,,,,,,,,,,,,,
ルイス軽機関銃,lewis,0,,,0,,,,,,,,,,,,,,,,,,,
ブレン軽機関銃,brengun,0,,,0,,,,,,,,,,,,,,,,,,,
ステン短機関銃,stengun,0,,,[1],animation.stengun.bayonet,,,,,,,,,,,,,,,,,,
三八式歩兵銃,t38,"[1,2]",,animation.sight.ads,[1],animation.t38.bayonet,,,,,,,,,,,,,,,,,,
一〇〇式機関短銃,t100,0,,,[1],,,,,,,,,,,,,,,,,,,
九九式軽機関銃,t99,0,,,0,,,,,,,,,,,,,,,,,,,
十四年式拳銃,t14,0,,,0,,,,,,,,,,,,,,,,,,,
八九式重擲弾筒,t89g,0,,,0,,,,,,,,,,,,,,,,,,,
