name,id,type,health,speed,weapon1,weapon1_cool,weapon1_ammo,weapon2,weapon2_cool,weapon2_ammo,weapon3,weapon3_cool,weapon3_ammo,weapon4,weapon4_cool,weapon4_ammo,antibullet,water,v_sizew,v_sizeh,v_menber,v_break,v_ridef,v_position1,v_position2,v_position3,v_position4,v_position5,fuel,attack,inventory,third_person_camera_radius,maxtuen,family,engname,,,,sub
vehicle,bf109,air,180,1.2,20mmmcaird,1,30,,20,0,,0,0,,0,0,1,,5,4,1,F,[ "GERplayer"],"[ 0, 1.45, 0.1 ]",,,,,6,0,,15,22.5,"[ ""vehicle"",""air"",""TofAA"" ]",,,,,
vehicle,ju87,air,180,1,7.62mmmgs,0,30,bomb,50,5,37mmrocket,50,8,,0,0,1,,5,4,1,F,[ "GERplayer"],"[ 0, 1.45, 0.1 ]",,,,,15,0,,15,9,"[ ""vehicle"",""air"",""TofAA"" ]",,,,,
vehicle,spitfire,air,240,1,14.5mmhmg,0,60,,20,0,,0,0,,0,0,1,,5,4,1,F,[ "ENGplayer"],"[ 0, 1.45, 0.1 ]",,,,,6,0,,16,22.5,"[ ""vehicle"",""air"",""TofAA"" ]",,,,,
vehicle,battle,air,200,0.8,7.62mmmg,0,30,bomb,50,5,,0,0,,0,0,1,,5,4,2,F,[ "ENGplayer"],"[ 0, 1.45, 0.1 ]","[ 0, 1.45, -2.35 ]",,,,12,0,,16,9,"[ ""vehicle"",""air"",""TofAA"" ]",,,,,
vehicle,f4u,air,200,1,14.5mmhmg,0,60,,20,0,,0,0,,0,0,1,,5,4,1,F,[ "USAplayer"],"[ 0, 1.45, 0.1 ]",,,,,6,0,,16,22.5,"[ ""vehicle"",""air"",""TofAA"" ]",,,,,
vehicle,sbd,air,200,0.8,7.62mmmgs,0,30,bomb,50,5,,0,0,,0,0,1,,5,4,2,F,[ "USAplayer"],"[ 0, 1.45, 0.1 ]","[ 0, 1.45, -1.6 ]",,,,12,0,,16,9,"[ ""vehicle"",""air"",""TofAA"" ]",,,,,
Yak-9,yak9,air,200,1,20mmmcaird,1,30,,20,0,,0,0,,0,0,1,,5,4,1,F,[ "SOVplayer"],"[ 0, 1.45, 0.1 ]",,,,,6,0,,16,15,"[ ""vehicle"",""air"",""TofAA"" ]",Yak-9,,,,
Il-2,il2,air,200,0.6,20mmmcaird,1,30,bomb,10,5,37mmrocket,50,8,,0,0,1,,5,4,1,F,[ "SOVplayer"],"[ 0, 1.45, 0.1 ]",,,,,12,0,,16,6,"[ ""vehicle"",""air"",""TofAA"" ]",Il-2,,,,
vehicle,zero,air,160,0.85,20mmmcaird,1,30,,0,0,,0,0,,0,0,1,,4,3,1,F,[ "JAPplayer"],"[ 0, 1.45, 0.1 ]",,,,,6,0,,16,30,"[ ""vehicle"",""air"",""TofAA"" ]",,,,,
vehicle,b7a,air,200,0.75,7.62mmmg,1,30,bomb,50,5,,0,0,,0,0,1,,5,4,2,F,[ "JAPplayer"],"[ 0, 1.45, 0.1 ]","[ 0, 1.45, -1.6 ]",,,,12,0,,16,9,"[ ""vehicle"",""air"",""TofAA"" ]",,,,,
vehicle,t34,tank,240,0.17,85mm,80,5,vmg,1,20,,0,0,,0,0,2,,3,2,1,F,"[ ""SOVteam"",""SOVplayer""]","[ 0.0, 2.4, 0.0 ]",,,,,3,7,,0,1,"[ ""vehicle"",""playerfire"",""plate"",""tank"" ]",,,,,
vehicle,panzer,tank,180,0.25,76mm,60,5,vmg,1,20,,0,0,,0,0,2,,3,2,1,F,"[ ""GERteam"",""GERplayer""]","[ 0.0, 1.8, 0.0]",,,,,3,7,,0,1,"[ ""vehicle"",""playerfire"",""plate"",""tank"" ]",,,,,
