name,id,ダメージ,弾速,命中精度,連射間隔(tick),爆発,ブロック破壊,音,ダメージタイプ,offset,scale,ammo,
7.62mmMG,vmg,4,4,0,1,0,F,mgiibullet,override,,1,zex:762m,
37mmCannon,37mm,35,4,0,20,3,F,tankbullet,entityExplosion,,2,zex:s37m,
47mmCannon,47mm,60,4,0,60,2,F,tankbullet,entityExplosion,,4,zex:s47m,
57mmCannon,57mm,70,4,0,60,3,F,tankbullet,entityExplosion,,4,zex:s57m,
76mmCannon,76mm,80,4,0,60,3,F,tankbullet,entityExplosion,,4,zex:s76m,
85mmCannon,85mm,100,4,0,100,3,F,tankbullet,entityExplosion,,4,zex:s85m,
88mmCannon,88mm,110,4,0,100,4,F,tankbullet,entityExplosion,,6,zex:s88m,
100mmCannon,100mm,120,4,0,100,4,F,tankbullet,entityExplosion,,6,zex:s105m,
105mmCannon,105mm,150,4,0,100,4,F,tankbullet,entityExplosion,,6,zex:s105m,
120mmCannon,120mm,180,4,0,100,5,F,tankbullet,entityExplosion,,6,zex:s105m,
125mmCannon,125mm,200,4,0,100,5,F,tankbullet,entityExplosion,,6,zex:s105m,
152mmCannon,152mm,250,4,0,160,6,F,tankbullet,entityExplosion,,6,zex:s152m,
20mm,20mm,10,6,0,5,3,F,hmgbullet,entityExplosion,,1,zex:20mmc,
23mm,23mm,12,6,0,6,3,F,hmgbullet,entityExplosion,,1,zex:20mmc,
ads_dp28,ads_dp28,8,6,0,1,0,F,mgbullet,override,,1,zex:762m,
ads_m60,ads_m60,8,6,0,1,0,F,mgbullet,override,,1,zex:762m,
ads_pkm,ads_pkm,8,6,0,1,0,F,mgbullet,override,,1,zex:762m,
37mmAntiTank,37mmrocket,35,4,0,20,3,F,rpgbullet,entityExplosion,,4,zex:s37m,
76mmrocket,76mmrocket,60,4,0,20,3,F,rpgbullet,entityExplosion,,4,zex:s76m,
agmissile,agmissile,120,4,0,100,6,F,missilebullet,entityExplosion,,1,zex:s152m,
vmgii,vmgii,8,6,0,1,0,F,mgiibullet,override,D,1,zex:762m,2
vmgi,vmgi,8,6,0,1,0,F,mgiibullet,override,,1,zex:762m,
aamissile,aamissile,100,2,0,100,4,F,missilebullet,entityExplosion,H,1,zex:s152m,
250kgBombx2,bomb,100,2,0,100,4,F,missilebullet,entityExplosion,HN,1,zex:sbombm,2
250kgBombx4,bombii,100,2,0,100,4,F,missilebullet,entityExplosion,HM,1,zex:sbombm,4
hmg,hmg,8,4,0,2,0,F,hmgbullet,override,,1,zex:762m,
7.62mmMGx2,7.62mmmgs,4,8,0,1,0,F,mgiibullet,override,D,1,zex:762m,2
7.62mmMG,7.62mmmg,4,4,0,1,0,F,mgiibullet,override,,1,zex:762m,
12.7mmHMGx4,12.7mmmg,6,12,0,1,0,F,hmgbullet,override,Q,1,zex:1270m,4
14.5mmHMGx4,14.5mmhmg,6,12,0,2,0,F,hmgbullet,override,Q,1,zex:1450m,
20mmMC,20mmmc,10,4,0,1,1,F,hmgbullet,override,,1,zex:20mmc,
20mmMC,20mmmcheri,10,4,0,1,1,F,mgiibullet,override,,1,zex:20mmc,
23mmmc,23mmmc,12,4,0,2,1,F,mgiibullet,entityExplosion,,1,zex:20mmc,
25mmmc,25mmmc,20,4,0,9,1,F,hmgiibullet,entityExplosion,,1,zex:20mmc,
30mmmc,30mmmc,16,4,0,2,1,F,hmgiibullet,entityExplosion,,1,zex:20mmc,
23mmMCx2,23mmmcair,4,4,0,1,0,F,hmgbullet,override,D,4,zex:20mmc,2
20mmMCx2,20mmmcaird,12,12,0,1,1,F,hmgbullet,override,D,4,zex:20mmc,2
20mmMCx4,20mmmcairw,12,12,0,1,1,F,hmgbullet,override,Qw,4,zex:20mmc,4
30mmMC,30mmmcair,12,12,0,1,0,F,hmgbullet,override,,1,zex:20mmc,
20mmMC,20mmmcair,12,12,0,1,1,F,hmgbullet,override,,4,zex:20mmc,
bombii,bombiii,100,2,0,100,4,F,missilebullet,entityExplosion,HMM,1,zex:sbombm,
